rnti ts msg Attackornot
45 0.3879966735839844 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
46 0.3758885860443115 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
47 0.3638038635253906 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
48 0.3953671455383301 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
49 0.3556249141693115 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
50 0.36748814582824707 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
51 0.36348724365234375 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
52 0.3553345203399658 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
53 10.285082578659058 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, LoggedMeasurementConfiguration-r16, RRCReconfigurationComplete, MeasurementReport, MobilityFromNRCommand, ULInformationTransfer" Benign
54 0.4992258548736572 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
